index,crime,zoned,industrial,river,nox,rooms,age,distances,highway,tax,p_t_ratio,lower_status,value
1,0.00632,18.0,2.31,0,0.5379999999999999,6.575,65.2,4.09,1,296,15.3,4.98,24.0
2,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6
3,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7
5,0.06905,0.0,2.18,0,0.45799999999999996,7.147,54.2,6.0622,3,222,18.7,5.33,36.2
6,0.02985,0.0,2.18,0,0.45799999999999996,6.43,58.7,6.0622,3,222,18.7,5.21,28.7
7,0.08829,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311,15.2,12.43,22.9
8,0.14455,12.5,7.87,0,0.524,6.172000000000001,96.1,5.9505,5,311,15.2,19.15,27.1
9,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311,15.2,29.93,16.5
11,0.22489,12.5,7.87,0,0.524,6.377000000000001,94.3,6.3467,5,311,15.2,20.45,15.0
12,0.11747,12.5,7.87,0,0.524,6.0089999999999995,82.9,6.2267,5,311,15.2,13.27,18.9
13,0.09378,12.5,7.87,0,0.524,5.888999999999999,39.0,5.4509,5,311,15.2,15.71,21.7
14,0.62976,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307,21.0,8.26,20.4
16,0.62739,0.0,8.14,0,0.5379999999999999,5.834,56.5,4.4986,4,307,21.0,8.47,19.9
17,1.05393,0.0,8.14,0,0.5379999999999999,5.935,29.3,4.4986,4,307,21.0,6.58,23.1
19,0.80271,0.0,8.14,0,0.5379999999999999,5.456,36.6,3.7965,4,307,21.0,11.69,20.2
20,0.7258,0.0,8.14,0,0.5379999999999999,5.727,69.5,3.7965,4,307,21.0,11.28,18.2
22,0.8520399999999999,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307,21.0,13.83,19.6
24,0.9884299999999999,0.0,8.14,0,0.5379999999999999,5.813,100.0,4.0952,4,307,21.0,19.88,14.5
25,0.75026,0.0,8.14,0,0.5379999999999999,5.9239999999999995,94.1,4.3996,4,307,21.0,16.3,15.6
29,0.77299,0.0,8.14,0,0.5379999999999999,6.495,94.4,4.4547,4,307,21.0,12.8,18.4
31,1.13081,0.0,8.14,0,0.5379999999999999,5.712999999999999,94.1,4.2330000000000005,4,307,21.0,22.6,12.7
33,1.38799,0.0,8.14,0,0.5379999999999999,5.95,82.0,3.99,4,307,21.0,27.71,13.2
35,1.6128200000000001,0.0,8.14,0,0.5379999999999999,6.096,96.9,3.7598,4,307,21.0,20.34,13.5
36,0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68,18.9
38,0.08014,0.0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21.0
39,0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
40,0.027630000000000002,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8
41,0.033589999999999995,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9
42,0.12744,0.0,6.91,0,0.44799999999999995,6.77,2.9,5.7209,3,233,17.9,4.84,26.6
43,0.1415,0.0,6.91,0,0.44799999999999995,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
45,0.12269000000000001,0.0,6.91,0,0.44799999999999995,6.069,40.0,5.7209,3,233,17.9,9.55,21.2
46,0.17142000000000002,0.0,6.91,0,0.44799999999999995,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
47,0.18836,0.0,6.91,0,0.44799999999999995,5.7860000000000005,33.3,5.1004,3,233,17.9,14.15,20.0
50,0.21977,0.0,6.91,0,0.44799999999999995,5.602,62.0,6.0877,3,233,17.9,16.2,19.4
52,0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243,16.8,9.43,20.5
53,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,25.0
55,0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
56,0.01311,90.0,1.22,0,0.40299999999999997,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
