d0,d1
53920.0,42968.0
52019.0,42206.0
52570.0,42476.0
54220.0,42081.0
54268.0,43420.0
52288.0,42408.0
54436.0,39727.0
52391.0,44323.0
54995.0,43655.0
53761.0,43403.0
53769.0,43786.0
52883.0,41365.0
54448.0,42846.0
53358.0,40498.0
54626.0,43461.0
53751.0,42326.0
52714.0,41735.0
53545.0,43025.0
55281.0,41180.0
52522.0,42088.0
53825.0,42358.0
54951.0,43538.0
55113.0,40262.0
53366.0,41560.0
52425.0,42226.0
53729.0,43219.0
54658.0,41295.0
53236.0,44502.0
54569.0,43519.0
55192.0,40969.0
52661.0,42382.0
54389.0,41903.0
54931.0,42810.0
55003.0,43219.0
56382.0,43858.0
54258.0,44302.0
53785.0,43039.0
53844.0,44271.0
53568.0,38856.0
53300.0,41958.0
54027.0,39799.0
54307.0,44020.0
52648.0,43224.0
51953.0,41115.0
56370.0,40191.0
53655.0,41979.0
49832.0,41548.0
54146.0,41202.0
52375.0,41772.0
54484.0,41591.0
51271.0,41252.0
53894.0,43780.0
51496.0,42107.0
55580.0,41750.0
52235.0,43593.0
53009.0,45720.0
52895.0,40396.0
52314.0,40370.0
53527.0,43264.0
51552.0,42936.0
54356.0,43953.0
51788.0,41827.0
53644.0,44911.0
51526.0,41555.0
52460.0,41243.0
52790.0,40829.0
53560.0,43487.0
55317.0,41567.0
54211.0,42145.0
52736.0,43734.0
54220.0,41543.0
55487.0,40680.0
53164.0,42365.0
54372.0,42125.0
52296.0,42854.0
51853.0,42724.0
55470.0,42381.0
55843.0,43461.0
53041.0,41762.0
56020.0,44948.0
54572.0,42044.0
55615.0,39213.0
51784.0,42659.0
54678.0,42358.0
55264.0,42101.0
53628.0,45140.0
51676.0,41313.0
52069.0,42197.0
53695.0,41876.0
52425.0,41797.0
55562.0,40697.0
53371.0,40882.0
53015.0,43465.0
53484.0,45006.0
54684.0,41479.0
52344.0,45540.0
56100.0,40476.0
57237.0,41749.0
52220.0,40576.0
53611.0,42444.0
54594.0,43850.0
51844.0,42736.0
53038.0,41204.0
54636.0,40466.0
52845.0,43435.0
53530.0,39504.0
53417.0,43154.0
55258.0,43614.0
54519.0,43642.0
51681.0,45290.0
49313.0,41972.0
55194.0,44097.0
55109.0,41603.0
53142.0,43422.0
53656.0,41913.0
49901.0,43636.0
53632.0,43440.0
53989.0,42372.0
53334.0,41711.0
53446.0,41789.0
53340.0,41575.0
53856.0,41857.0
54385.0,42851.0
53719.0,41851.0
56661.0,40693.0
54461.0,41699.0
53281.0,43550.0
53105.0,43114.0
51737.0,40814.0
50511.0,45158.0
56075.0,43071.0
55576.0,41873.0
54356.0,42479.0
54014.0,43208.0
54239.0,41432.0
56462.0,42733.0
53340.0,39854.0
55692.0,42420.0
55367.0,43043.0
53716.0,44044.0
51634.0,41676.0
56679.0,42675.0
54172.0,41958.0
51823.0,40542.0
53576.0,42596.0
55265.0,39986.0
52639.0,41267.0
54347.0,42795.0
53612.0,42060.0
53398.0,43770.0
49899.0,48712.0
50062.0,49584.0
49344.0,47683.0
50670.0,46231.0
53288.0,48577.0
52169.0,49412.0
51152.0,46601.0
50763.0,49169.0
49126.0,46607.0
50904.0,49470.0
50881.0,47814.0
53902.0,49665.0
50462.0,47490.0
52624.0,50362.0
51021.0,48653.0
50826.0,48127.0
51805.0,49498.0
52195.0,49730.0
53579.0,47959.0
50801.0,48595.0
51406.0,49935.0
50128.0,50181.0
52315.0,49319.0
51436.0,48575.0
50422.0,49794.0
49230.0,49949.0
50468.0,48101.0
52922.0,47579.0
50211.0,47660.0
50048.0,46949.0
51858.0,49406.0
51096.0,48445.0
49520.0,49471.0
50393.0,50758.0
51586.0,46956.0
54046.0,46829.0
50415.0,50077.0
52875.0,46329.0
50095.0,50565.0
50470.0,51527.0
48995.0,47894.0
53082.0,48779.0
49852.0,50340.0
52092.0,49784.0
50817.0,50224.0
49486.0,49476.0
